Variable	Variable2
Secondary Energy|Electricity|Biomass|w/ CCS	Sec_Ene_Ele_Bio_w_CCS
Secondary Energy|Electricity|Biomass|w/o CCS	Sec_Ene_Ele_Bio_wo_CCS
Secondary Energy|Electricity|Coal	Sec_Ene_Ele_Coa
Secondary Energy|Electricity|Coal|w/ CCS	Sec_Ene_Ele_Coa_w_CCS
Secondary Energy|Electricity|Coal|w/o CCS	Sec_Ene_Ele_Coa_wo_CCS
Secondary Energy|Electricity|Gas	Sec_Ene_Ele_Gas
Secondary Energy|Electricity|Gas|w/ CCS	Sec_Ene_Ele_Gas_w_CCS
Secondary Energy|Electricity|Gas|w/o CCS	Sec_Ene_Ele_Gas_wo_CCS
Secondary Energy|Electricity|Geothermal	Sec_Ene_Ele_Geo
Secondary Energy|Electricity|Hydro	Sec_Ene_Ele_Hyd
Secondary Energy|Electricity|Non-Biomass Renewables	Sec_Ene_Ele_NonBioRen
Secondary Energy|Electricity|Nuclear	Sec_Ene_Ele_Nuc
Secondary Energy|Electricity|Oil	Sec_Ene_Ele_Oil
Secondary Energy|Electricity|Oil|w/ CCS	Sec_Ene_Ele_Oil_w_CCS
Secondary Energy|Electricity|Oil|w/o CCS	Sec_Ene_Ele_Oil_wo_CCS
Secondary Energy|Electricity|Solar	Sec_Ene_Ele_Solar
Secondary Energy|Electricity|Wind	Sec_Ene_Ele_Win
Secondary Energy|Electricity|Wind|Onshore	Sec_Ene_Ele_Win_Ons
Secondary Energy|Gases	Sec_Ene_Gas
Secondary Energy|Gases|Natural Gas	Sec_Ene_Gas_Nat_Gas
Secondary Energy|Heat	Sec_Ene_Heat
Secondary Energy|Liquids	Sec_Ene_Liq
Secondary Energy|Liquids|Biomass	Sec_Ene_Liq_Bio
Secondary Energy|Liquids|Oil	Sec_Ene_Liq_Oil
Primary Energy|Other	Prm_Ene_Oth
Concentration|CH4	Cnc_CH4
Concentration|CO2	Cnc_CO2
Concentration|N2O	Cnc_N2O
Emissions|HFC|HFC125	Emissions_HFC_HFC125
Emissions|HFC|HFC134a	Emissions_HFC_HFC134a
Emissions|HFC|HFC143a	Emissions_HFC_HFC143a
Emissions|HFC|HFC227ea	Emissions_HFC_HFC227ea
Emissions|HFC|HFC23	Emissions_HFC_HFC23
Emissions|HFC|HFC32	Emissions_HFC_HFC32
Emissions|HFC|HFC43-10	Emissions_HFC_HFC43_10
