Variable	Variable2
Price|Secondary Energy|Solids|Biomass	Prc_Sec_Ene_SolidsBio
Price|Secondary Energy|Solids|Coal	Prc_Sec_Ene_SolidsCoa
Secondary Energy|Hydrogen|Fossil	Sec_Ene_Hyd_Fos
Secondary Energy|Hydrogen|Fossil|w/ CCS	Sec_Ene_Hyd_Fos_w_CCS
Secondary Energy|Hydrogen|Fossil|w/o CCS	Sec_Ene_Hyd_Fos_wo_CCS
Trade|Secondary Energy|Hydrogen|Volume	Trd_Sec_Ene_Hyd_Vol
Price|Primary Energy|Biomass	Prc_Prm_Ene_Bio
Agricultural Production|Energy	Agr_Pro_Ene
Water Withdrawal|Irrigation	Wat_Wit_Irr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases	Car_Seq_CCS_Bio_Ene_Sup_Gas
Policy Cost|Other	Pol_Cos_Oth
Emissions|BC|Other	Emi_BC_Oth
Emissions|NH3|Other	Emi_NH3_Oth
Emissions|NOx|Other	Emi_NOx_Oth
Emissions|OC|Other	Emi_OC_Oth
Emissions|Sulfur|Other	Emi_Sul_Oth
Emissions|VOC|Other	Emi_VOC_Oth
Subsidies|Energy|Fossil	Sub_Ene_Fos
Emissions|CO|Other	Emi_CO_Oth
Secondary Energy|Electricity|Fossil	Sec_Ene_Ele_Fos
Secondary Energy|Electricity|Other	Sec_Ene_Ele_Oth
Policy Cost|Additional Total Energy System Cost	Pol_Cos_Add_Tot_Ene_Sys_Cos
